opponent,model,rounds,seeds,mean_payoff,payoff_std,payoff_ci95_low,payoff_ci95_high,mean_log_loss,log_loss_std,log_loss_ci95_low,log_loss_ci95_high
uniform-random,global,500,100,-0.000080,0.032015,-0.006355,0.006195,1.107272,0.002034,1.106873,1.107671
uniform-random,contextual,500,100,-0.000280,0.037605,-0.007651,0.007091,1.136903,0.006052,1.135716,1.138089
rock-biased,global,500,100,0.444440,0.038741,0.436847,0.452033,0.946644,0.027232,0.941306,0.951981
rock-biased,contextual,500,100,0.426680,0.038441,0.419146,0.434214,0.960615,0.027556,0.955214,0.966016
repeating-markov,global,500,100,0.075420,0.051836,0.065260,0.085580,1.096819,0.010938,1.094675,1.098963
repeating-markov,contextual,500,100,0.675640,0.030624,0.669638,0.681642,0.683096,0.036376,0.675967,0.690226
previous-move-counter,global,500,100,-0.316020,0.009915,-0.317963,-0.314077,1.109271,0.000008,1.109270,1.109273
previous-move-counter,contextual,500,100,0.773860,0.023303,0.769293,0.778427,0.543737,0.035122,0.536853,0.550621
win-stay-lose-shift,global,500,100,-0.264840,0.011160,-0.267027,-0.262653,1.109274,0.000005,1.109273,1.109275
win-stay-lose-shift,contextual,500,100,0.984320,0.006181,0.983109,0.985531,0.069636,0.003639,0.068923,0.070349
